Innsbruck,131989
Arzl im Pitztal,3165
Haiming,4757
Imst,10771
Imsterberg,801
Jerzens,949
Karres,620
Karrösten,677
Längenfeld,4746
Mieming,3790
Mils bei Imst,609
Mötz,1249
Nassereith,2148
Obsteig,1380
Oetz,2393
Rietz,2367
Roppen,1817
St. Leonhard im Pitztal,1385
Sautens,1623
Silz,2564
Sölden,3049
Stams,1546
Tarrenz,2734
Umhausen,3313
Wenns,2038
Absam,7314
Aldrans,2726
Ampass,1845
Axams,6049
Baumkirchen,1271
Birgitz,1488
Ellbögen,1129
Flaurling,1310
Fritzens,2174
Fulpmes,4464
Gnadenwald,818
Götzens,4086
Gries am Brenner,1330
Gries im Sellrain,616
Grinzens,1410
Gschnitz,438
Hatting,1471
Inzing,3966
Kematen in Tirol,2975
Kolsass,1618
Kolsassberg,817
Lans,1090
Leutasch,2407
Matrei am Brenner,934
Mieders,1874
Mils,4479
Mühlbachl,1430
Mutters,2233
Natters,2075
Navis,2045
Neustift im Stubaital,4815
Oberhofen im Inntal,1861
Obernberg am Brenner,371
Oberperfuss,3092
Patsch,1057
Pettnau,1065
Pfaffenhofen,1143
Pfons,1232
Polling in Tirol,1228
Ranggen,1102
Reith bei Seefeld,1421
Rinn,1940
Rum,9277
St. Sigmund im Sellrain,175
Scharnitz,1361
Schmirn,875
Schönberg im Stubaital,1108
Seefeld in Tirol,3463
Sellrain,1324
Sistrans,2245
Hall in Tirol,14156
Steinach am Brenner,3649
Telfes im Stubai,1599
Telfs,16050
Thaur,4048
Trins,1323
Tulfes,1643
Unterperfuss,222
Vals,530
Völs,6937
Volders,4452
Wattenberg,741
Wattens,8017
Wildermieming,972
Zirl,8113
Aurach bei Kitzbühel,1117
Brixen im Thale,2639
Fieberbrunn,4344
Going am Wilden Kaiser,1887
Hochfilzen,1243
Hopfgarten im Brixental,5637
Itter,1176
Jochberg,1520
Kirchberg in Tirol,5231
Kirchdorf in Tirol,3977
Kitzbühel,8231
Kössen,4422
Oberndorf in Tirol,2291
Reith bei Kitzbühel,1675
St. Jakob in Haus,797
St. Johann in Tirol,9549
St. Ulrich am Pillersee,1873
Schwendt,857
Waidring,2050
Westendorf,3685
Alpbach,2534
Angath,1005
Bad Häring,2847
Brandenberg,1526
Breitenbach am Inn,3455
Brixlegg,3012
Ebbs,5645
Ellmau,2848
Erl,1558
Kirchbichl,5858
Kramsach,4986
Kufstein,19517
Kundl,4725
Langkampfen,4178
Mariastein,448
Münster,3398
Niederndorf,2829
Niederndorferberg,721
Radfeld,2577
Rattenberg,442
Reith im Alpbachtal,2761
Rettenschöss,542
Scheffau am Wilden Kaiser,1476
Schwoich,2546
Söll,3660
Thiersee,3033
Angerberg,1893
Walchsee,1934
Wildschönau,4273
Wörgl,14059
Faggen,390
Fendels,263
Fiss,1046
Fließ,3086
Flirsch,994
Galtür,768
Grins,1368
Ischgl,1600
Kappl,2571
Kaunerberg,436
Kaunertal,599
Kauns,504
Ladis,543
Landeck,7634
Nauders,1538
Pettneu am Arlberg,1485
Pfunds,2591
Pians,800
Prutz,1869
Ried im Oberinntal,1252
St. Anton am Arlberg,2365
Schönwies,1687
See,1272
Serfaus,1139
Spiss,104
Stanz bei Landeck,580
Strengen,1240
Tobadill,512
Tösens,756
Zams,3399
Abfaltersbach,646
Ainet,921
Amlach,491
Anras,1232
Assling,1783
Außervillgraten,747
Dölsach,2323
Gaimberg,849
Hopfgarten in Defereggen,691
Innervillgraten,906
Iselsberg-Stronach,611
Kals am Großglockner,1131
Kartitsch,776
Lavant,330
Leisach,719
Lienz,11916
Matrei in Osttirol,4651
Nikolsdorf,880
Nußdorf-Debant,3361
Oberlienz,1461
Obertilliach,663
Prägraten am Großvenediger,1139
St. Jakob in Defereggen,834
St. Johann im Walde,298
St. Veit in Defereggen,639
Schlaiten,458
Sillian,2031
Strassen,796
Thurn,619
Tristach,1442
Untertilliach,223
Virgen,2201
Heinfels,992
Bach,625
Berwang,586
Biberwier,622
Bichlbach,795
Breitenwang,1456
Ehenbichl,822
Ehrwald,2616
Elbigenalp,888
Elmen,383
Forchach,263
Grän,593
Gramais,41
Häselgehr,678
Heiterwang,533
Hinterhornbach,91
Höfen,1213
Holzgau,401
Jungholz,312
Kaisers,74
Lechaschau,2095
Lermoos,1145
Musau,390
Namlos,73
Nesselwängle,462
Pfafflar,105
Pflach,1450
Pinswang,405
Reutte,6920
Schattwald,450
Stanzach,462
Steeg,662
Tannheim,1106
Vils,1492
Vorderhornbach,248
Wängle,929
Weißenbach am Lech,1253
Zöblen,233
Achenkirch,2200
Aschau im Zillertal,1845
Brandberg,362
Bruck am Ziller,1128
Buch in Tirol,2612
Eben am Achensee,3271
Finkenberg,1417
Fügen,4203
Fügenberg,1452
Gallzein,680
Gerlos,803
Gerlosberg,473
Hainzenberg,712
Hart im Zillertal,1582
Hippach,1447
Jenbach,7235
Kaltenbach,1315
Mayrhofen,3942
Pill,1201
Ramsau im Zillertal,1669
Ried im Zillertal,1280
Rohrberg,575
Schlitters,1520
Schwaz,13800
Schwendau,1762
Stans,2134
Steinberg am Rofan,289
Strass im Zillertal,849
Stumm,1916
Stummerberg,853
Terfens,2161
Tux,1962
Uderns,1852
Vomp,5235
Weer,1610
Weerberg,2500
Wiesing,2145
Zell am Ziller,1716
Zellberg,665
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined
,undefined